//Loading PDBs.
//PDB loading of cell: CSA
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
318                      5.08e-18   7.45e-19   1.47e-01    CSA     341      XI1/XI0/XI7/NET5  
319                      5.91e-18   1.58e-18   2.67e-01    CSA     342      XI1/XI0/XI7/NET4  
320                      5.08e-18   7.45e-19   1.47e-01    CSA     343      XI0/XI7/NET5  
321                      5.91e-18   1.58e-18   2.67e-01    CSA     344      XI0/XI7/NET4  
322                      1.34e-17   6.78e-18   5.07e-01    CSA     345      XI2/XI6/NET7  
323                      5.13e-18   7.89e-19   1.54e-01    CSA     346      XI2/XI6/NET6  
324                      1.34e-17   6.78e-18   5.07e-01    CSA     347      XI1/XI6/NET7  
325                      5.13e-18   7.89e-19   1.54e-01    CSA     348      XI1/XI6/NET6  
326                      1.30e-17   2.96e-18   2.28e-01    CSA     354      XI2/XI6/NET2  
327                      1.30e-17   2.96e-18   2.28e-01    CSA     355      XI1/XI6/NET2  
328                      5.13e-18   7.89e-19   1.54e-01    CSA     356      XI2/XI6/NET5  
329                      5.13e-18   7.89e-19   1.54e-01    CSA     357      XI1/XI6/NET5  
330                      1.34e-17   3.33e-18   2.49e-01    CSA     363      XI2/XI8/NET7  
331                      5.13e-18   7.89e-19   1.54e-01    CSA     364      XI2/XI8/NET6  
332                      1.34e-17   3.33e-18   2.49e-01    CSA     367      XI1/XI8/NET7  
333                      5.13e-18   7.89e-19   1.54e-01    CSA     368      XI1/XI8/NET6  
334                      1.30e-17   6.41e-18   4.93e-01    CSA     372      XI2/XI8/NET2  
335                      1.30e-17   6.41e-18   4.93e-01    CSA     373      XI1/XI8/NET2  
336                      5.13e-18   7.89e-19   1.54e-01    CSA     374      XI2/XI8/NET5  
337                      5.13e-18   7.89e-19   1.54e-01    CSA     375      XI2/XI1/XI11/NET2  
338                      4.35e-18   0.00e+00   0.00e+00    CSA     376      XI2/XI1/XI11/NET1  
339                      5.13e-18   7.89e-19   1.54e-01    CSA     377      XI2/XI0/XI11/NET2  
340                      4.35e-18   0.00e+00   0.00e+00    CSA     378      XI2/XI0/XI11/NET1  
341                      5.13e-18   7.89e-19   1.54e-01    CSA     379      XI1/XI8/NET5  
342                      5.13e-18   7.89e-19   1.54e-01    CSA     380      XI1/XI1/XI11/NET2  
343                      4.35e-18   0.00e+00   0.00e+00    CSA     381      XI1/XI1/XI11/NET1  
344                      5.13e-18   7.89e-19   1.54e-01    CSA     382      XI1/XI0/XI11/NET2  
345                      4.35e-18   0.00e+00   0.00e+00    CSA     383      XI1/XI0/XI11/NET1  
346                      5.13e-18   7.89e-19   1.54e-01    CSA     384      XI0/XI11/NET2  
347                      4.35e-18   0.00e+00   0.00e+00    CSA     385      XI0/XI11/NET1  
348                      1.30e-17   6.38e-18   4.92e-01    CSA     386      XI2/XI7/NET7  
349                      5.22e-18   7.89e-19   1.51e-01    CSA     387      XI2/XI7/NET6  
350                      1.30e-17   6.38e-18   4.92e-01    CSA     388      XI1/XI7/NET7  
351                      5.13e-18   7.89e-19   1.54e-01    CSA     389      XI1/XI7/NET6  
352                      1.26e-17   6.01e-18   4.77e-01    CSA     390      XI2/XI7/NET2  
353                      1.26e-17   6.01e-18   4.77e-01    CSA     391      XI1/XI7/NET2  
354                      5.13e-18   7.89e-19   1.54e-01    CSA     392      XI2/XI7/NET5  
355                      5.13e-18   7.89e-19   1.54e-01    CSA     393      XI1/XI7/NET5  
356                      5.88e-18   1.53e-18   2.61e-01    CSA     394      XI2/XI1/XI10/NET2  
357                      5.92e-18   1.58e-18   2.66e-01    CSA     395      XI2/XI1/XI10/NET1  
358                      5.88e-18   1.53e-18   2.61e-01    CSA     396      XI2/XI0/XI10/NET2  
359                      5.92e-18   1.58e-18   2.66e-01    CSA     397      XI2/XI0/XI10/NET1  
360                      5.88e-18   1.53e-18   2.61e-01    CSA     398      XI1/XI1/XI10/NET2  
361                      5.92e-18   1.58e-18   2.66e-01    CSA     399      XI1/XI1/XI10/NET1  
362                      5.88e-18   1.53e-18   2.61e-01    CSA     400      XI1/XI0/XI10/NET2  
363                      5.92e-18   1.58e-18   2.66e-01    CSA     401      XI1/XI0/XI10/NET1  
364                      5.88e-18   1.53e-18   2.61e-01    CSA     402      XI0/XI10/NET2  
365                      5.92e-18   1.58e-18   2.66e-01    CSA     403      XI0/XI10/NET1  
366                      5.08e-18   7.45e-19   1.47e-01    CSA     404      XI2/XI1/XI10/NET5  
367                      5.91e-18   1.58e-18   2.67e-01    CSA     405      XI2/XI1/XI10/NET4  
368                      5.08e-18   7.45e-19   1.47e-01    CSA     406      XI2/XI0/XI10/NET5  
369                      5.91e-18   1.58e-18   2.67e-01    CSA     407      XI2/XI0/XI10/NET4  
370                      5.08e-18   7.45e-19   1.47e-01    CSA     408      XI1/XI1/XI10/NET5  
371                      5.91e-18   1.58e-18   2.67e-01    CSA     409      XI1/XI1/XI10/NET4  
372                      5.08e-18   7.45e-19   1.47e-01    CSA     410      XI1/XI0/XI10/NET5  
373                      5.91e-18   1.58e-18   2.67e-01    CSA     411      XI1/XI0/XI10/NET4  
374                      5.08e-18   7.45e-19   1.47e-01    CSA     412      XI0/XI10/NET5  
375                      5.91e-18   1.58e-18   2.67e-01    CSA     413      XI0/XI10/NET4  
376                      4.35e-18   0.00e+00   0.00e+00    CSA     414      XI30/NET1  
377                      4.35e-18   0.00e+00   0.00e+00    CSA     415      XI29/NET1  
